Result;Nodes;nbGames;Depth;sizeGrid
-1;658;51;1;15
-1;547;60;1;15
-1;721;55;1;15
-1;641;55;1;15
1;682;54;1;15
-1;634;59;1;15
-1;574;50;1;15
-1;701;52;1;15
1;615;50;1;15
1;609;57;1;15
-1;7453;58;2;15
0;7645;42;2;15
1;10942;45;2;15
-1;10769;56;2;15
-1;11812;51;2;15
-1;7012;69;2;15
-1;9044;35;2;15
1;9381;54;2;15
1;10243;55;2;15
-1;11831;51;2;15
1;9475;52;2;15
-1;11752;50;2;15
-1;7736;32;2;15
1;7980;61;2;15
1;10371;49;2;15
1;11049;52;2;15
-1;11456;29;2;15
-1;9070;67;2;15
-1;11938;54;2;15
0;9269;60;2;15
